,总本金,开始时间,结束时间,月供,总期数,剩余期数,已还本金,剩余总待还本金,距离到期时间,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州房贷,3460000,,,"15,292 ",,,171330,3288670,,降息前16473，降息后15916，25年7月 15116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九江房贷,710000,,,4354,,,180458,529542,,24年9月4779，11月4623，25年8月 4354，每个月少8块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xka的闪电贷,250000,2024年9月,2026年2月,"14,288 ",18 ,6 ,166667,83333,5个月零19天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我的广农消费分期,170000,2022年10月,2027年10月,"3,216 ",60 ,26 ,96333,73667,25个月零18天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xka的汇丰分期,50000,2022年12月,2027年12月,"1,150 ",60 ,28 ,26667,23333,27个月零18天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丈的广农信用贷,300000,2023年12月,2028年12月,"5,976 ",60 ,40 ,100000,200000,39个月零18天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我的工行快贷,292000,,,"1,246 ",,,0,292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xka的工行快贷,300000,,,"1,043 ",,,0,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,5532000,,,"44,276 ",,,741455,4790545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
